timesteps,wall_min,level,episodes_at_level,success_rate,fail_rate,top_failure,final_abs_heading_err,ep_rew_mean
4096,0.057593369483947755,V1,2,1.0,0,,0.3698072017554561,318.4564208984375
8192,0.12454354763031006,V1,4,1.0,0,,0.39516173873605864,324.0848083496094
12288,0.18778379360834757,V1,6,1.0,0,,0.371791476464794,324.5790710449219
16384,0.25227068265279134,V1,10,1.0,0,,0.3480798283728638,330.0615539550781
20480,0.31674948930740354,V1,12,1.0,0,,0.33387426044420515,329.64202880859375
24576,0.38372522592544556,V1,14,1.0,0,,0.3383120741704431,328.6816101074219
28672,0.4502018690109253,V1,16,1.0,0,,0.34472728405764047,328.9422607421875
32768,0.5163488268852234,V1,20,1.0,0,,0.29474915705140725,331.47979736328125
36864,0.5795908490816752,V1,22,1.0,0,,0.28159131666949944,330.8877258300781
40960,0.6441386779149373,V1,24,1.0,0,,0.27706811486686533,332.11895751953125
45056,0.7110398173332214,V1,28,1.0,0,,0.25802349942818464,332.9063415527344
49152,0.7765767137209575,V1,30,1.0,0,,0.2552573676446626,334.1471252441406
53248,0.8425818840662639,V1,32,1.0,0,,0.25214468257976186,335.0159912109375
57344,0.9100420435269674,V1,34,1.0,0,,0.24209253156364732,335.6080322265625
61440,0.9764023900032044,V1,38,1.0,0,,0.23489360408999352,336.2100830078125
65536,1.040434221426646,V1,40,0.975,0,,0.23118554319812618,336.03167724609375
69632,1.1043187101682028,V1,42,0.9761904761904762,0,,0.22646586115350628,336.1785583496094
73728,1.1685729304949442,V1,46,0.9782608695652174,0,,0.2148262608290251,336.38043212890625
77824,1.2312287966410318,V1,48,0.9791666666666666,0,,0.2101490618241563,336.6858825683594
81920,1.2957860430081685,V1,50,0.98,0,,0.20215166839837387,336.88250732421875
86016,1.3594130635261537,V1,52,0.9807692307692307,0,,0.19272575397947628,336.7941589355469
90112,1.426930065949758,V1,56,0.9821428571428571,0,,0.174603684042711,336.6848449707031
94208,1.4905078609784443,V1,58,0.9827586206896551,0,,0.16950553702844395,336.81414794921875
98304,1.553879733880361,V1,60,0.9833333333333333,0,,0.15929456049022697,337.37652587890625
