timesteps,wall_min,level,episodes_at_level,success_rate,fail_rate,top_failure,final_abs_heading_err,ep_rew_mean
4096,0.06425410906473795,H1,2,0.0,1.0,altitude_deviation,5.1600139294581036,25.113784790039062
8192,0.13427908817927042,H1,6,0.0,1.0,altitude_deviation,4.814015555150575,10.355462074279785
12288,0.20310939153035482,H1,10,0.0,0.8,altitude_deviation,4.125372665872082,31.11458396911621
16384,0.27056421438852946,H1,14,0.0,0.7142857142857143,altitude_deviation,4.088487889993618,47.687557220458984
20480,0.33770561615626016,H1,17,0.0,0.6470588235294118,altitude_deviation,4.029468007683207,43.90815353393555
24576,0.40628242095311484,H1,21,0.0,0.5238095238095238,altitude_deviation,3.594048676123345,67.51180267333984
28672,0.47385339736938475,H1,25,0.0,0.44,altitude_deviation,3.3843426370156164,86.91065216064453
32768,0.5391289710998535,H1,27,0.0,0.4074074074074074,altitude_deviation,3.2110329024915014,95.35795593261719
36864,0.6062092661857605,H1,31,0.03225806451612903,0.3548387096774194,altitude_deviation,2.9903103653931318,110.35875701904297
40960,0.6746025721232096,H1,35,0.05714285714285714,0.3142857142857143,altitude_deviation,2.7859996177078057,123.4981689453125
45056,0.7418831666310628,H1,38,0.10526315789473684,0.2894736842105263,altitude_deviation,2.6143607214424684,132.259765625
49152,0.8087211926778157,H1,41,0.17073170731707318,0.2682926829268293,altitude_deviation,2.447727953573243,140.51913452148438
53248,0.8778855880101522,H1,45,0.24444444444444444,0.24444444444444444,altitude_deviation,2.284191832921232,150.31716918945312
57344,0.9464642842610677,H1,48,0.2916666666666667,0.22916666666666666,altitude_deviation,2.1611939161077576,156.95086669921875
61440,1.0180779894193013,H1,51,0.3333333333333333,0.21568627450980393,altitude_deviation,1.9759400178969082,163.013671875
65536,1.0871273676554363,H1,55,0.38181818181818183,0.2,altitude_deviation,1.6419563528136942,170.21070861816406
69632,1.156301772594452,H1,59,0.423728813559322,0.1864406779661017,altitude_deviation,1.3705227239686855,176.58863830566406
73728,1.2259654680887857,H1,62,0.45161290322580644,0.1774193548387097,altitude_deviation,1.110894039653166,180.94656372070312
77824,1.2934348543485006,H1,65,0.47692307692307695,0.16923076923076924,altitude_deviation,0.96693827848491,184.89334106445312
81920,1.3621074517567953,H1,69,0.5072463768115942,0.15942028985507245,altitude_deviation,0.6708456875378778,189.6707305908203
86016,1.4293018023173014,H1,72,0.5277777777777778,0.1527777777777778,altitude_deviation,0.6171112964835332,192.92686462402344
