timesteps,wall_min,level,episodes_at_level,success_rate,fail_rate,top_failure,final_abs_heading_err,ep_rew_mean
610304,10.376208372910817,H5,78,1.0,0,,0.05943628824740561,254.17320251464844
614400,10.445620405673981,H5,82,1.0,0,,0.058518900860300004,255.68499755859375
618496,10.509572450319926,H5,84,1.0,0,,0.05999971203622618,256.36492919921875
622592,10.578476373354594,H5,88,1.0,0,,0.05995796084426924,257.73858642578125
626688,10.644252828756969,H5,90,1.0,0,,0.059239107750006174,258.4144592285156
630784,10.712921826044719,H5,92,1.0,0,,0.059066409752548704,259.065185546875
634880,10.78255736430486,H5,96,1.0,0,,0.05794790002728309,260.633056640625
638976,10.84755534728368,H5,98,1.0,0,,0.055415668675762184,261.2526550292969
643072,10.91843436161677,H6,2,1.0,0,,0.05568188162720489,262.54583740234375
647168,10.983145117759705,H6,4,1.0,0,,0.04971058253658178,262.33074951171875
651264,11.049218809604644,H6,6,1.0,0,,0.06339940581194625,262.11798095703125
655360,11.115911146004995,H6,8,1.0,0,,0.07475819894912572,262.45330810546875
659456,11.186399841308594,H6,12,1.0,0,,0.07737753677461019,261.8575439453125
663552,11.25049550930659,H6,14,1.0,0,,0.07798056227167649,261.7473449707031
667648,11.317204630374908,H6,16,1.0,0,,0.07497955025071779,261.49383544921875
671744,11.385955254236857,H6,20,1.0,0,,0.06648737497945093,261.67584228515625
675840,11.452061502138774,H6,22,1.0,0,,0.07190722635373509,261.7720031738281
679936,11.516725770632426,H6,24,1.0,0,,0.07222007830600201,261.4133605957031
684032,11.581160227457682,H6,26,1.0,0,,0.0742456296134241,261.4263916015625
688128,11.651400272051493,H6,30,1.0,0,,0.0760827708505462,261.4101257324219
692224,11.717523189385732,H6,32,1.0,0,,0.07836980399324411,261.3512878417969
696320,11.783874138196309,H6,34,1.0,0,,0.07948699611355285,261.1797180175781
700416,11.850302390257518,H6,36,1.0,0,,0.08358661613944898,261.1317138671875
704512,11.920412683486939,H6,40,1.0,0,,0.08406456741914159,260.7720031738281
708608,11.988975131511689,H6,42,1.0,0,,0.08466778101434258,260.5292053222656
712704,12.057436954975127,H6,44,1.0,0,,0.08399279527911041,260.5513916015625
716800,12.130105725924174,H6,48,1.0,0,,0.08420867903799471,260.4544677734375
720896,12.199899121125538,H6,50,1.0,0,,0.08399909920318095,260.40948486328125
724992,12.267325556278228,H6,52,1.0,0,,0.08779310477726682,260.21917724609375
729088,12.335013993581136,H6,54,1.0,0,,0.09057987152709351,260.30133056640625
733184,12.405541531244914,H6,58,1.0,0,,0.08775280240404641,260.34515380859375
737280,12.47158335049947,H6,60,1.0,0,,0.08836224492066236,260.1678466796875
741376,12.537238601843516,H6,62,1.0,0,,0.0913245759810593,259.8114318847656
745472,12.606923659642538,H6,66,1.0,0,,0.09442970805767317,259.4662780761719
749568,12.679397018750509,H6,68,1.0,0,,0.09747638846256365,259.1127014160156
753664,12.747815910975138,H6,70,1.0,0,,0.10225347945287495,258.9843444824219
757760,12.818041638533275,H6,72,1.0,0,,0.10035226621327041,258.7984313964844
761856,12.889820790290832,H6,76,1.0,0,,0.10320562232028713,258.375732421875
765952,12.960078326861064,H6,78,1.0,0,,0.10585474518533822,258.29534912109375
770048,13.03131810426712,H6,80,1.0,0,,0.10728209559438007,258.53643798828125
774144,13.10263368288676,H6,84,1.0,0,,0.1088073713643751,258.0273742675781
778240,13.169768544038137,H6,86,1.0,0,,0.10781498512799736,258.06268310546875
782336,13.240156944592794,H6,88,1.0,0,,0.10690895646039217,257.8465881347656
786432,13.310635737578075,H6,90,1.0,0,,0.10552321352110816,257.75299072265625
790528,13.383718498547871,H6,94,1.0,0,,0.10687412857921195,257.43780517578125
794624,13.454317339261372,H6,96,1.0,0,,0.10872305812828706,257.35577392578125
798720,13.52220192750295,H6,98,1.0,0,,0.1060859146800302,257.24298095703125
802816,13.58921301762263,V1,0,0.0,0,,nan,257.16693115234375
806912,13.659559977054595,V1,4,1.0,0,,0.05158846090965952,257.9364929199219
811008,13.726768592993418,V1,6,1.0,0,,0.048709750954683294,258.868408203125
815104,13.793541685740154,V1,8,1.0,0,,0.05479873528818402,259.35888671875
819200,13.86151446501414,V1,12,1.0,0,,0.05264330850534312,261.28912353515625
823296,13.929379173119862,V1,14,1.0,0,,0.050519761060562426,262.2023010253906
827392,13.994274707635244,V1,16,1.0,0,,0.05172340911381035,262.7412109375
831488,14.063235314687093,V1,18,1.0,0,,0.051340631116520145,263.4776611328125
835584,14.132959222793579,V1,22,1.0,0,,0.05260464376898904,264.34344482421875
839680,14.202068106333416,V1,24,1.0,0,,0.05398732578442219,265.43658447265625
843776,14.26700182358424,V1,26,1.0,0,,0.05744151681129112,266.3802490234375
847872,14.340636483828227,V1,30,1.0,0,,0.06277187703273839,267.9130554199219
851968,14.412338145573933,V1,32,1.0,0,,0.06338270936323886,268.4750061035156
856064,14.483132632573446,V1,34,1.0,0,,0.06409377301105997,269.3210144042969
860160,14.553034301598867,V1,36,1.0,0,,0.06541755818035098,270.1286315917969
864256,14.62764949798584,V1,40,1.0,0,,0.06583876770762824,271.75299072265625
868352,14.699084174633025,V1,42,1.0,0,,0.06543736375369474,272.2173156738281
872448,14.769309588273366,V1,44,1.0,0,,0.06598873095957701,272.5684509277344
876544,14.842509583632152,V1,48,1.0,0,,0.06695205350629196,274.4129333496094
880640,14.912159907817841,V1,50,1.0,0,,0.06692855941812112,275.26416015625
884736,14.982593973477682,V1,52,1.0,0,,0.06653605619888353,276.305419921875
888832,15.05127785205841,V1,54,1.0,0,,0.06705840719629622,277.1652526855469
892928,15.123263919353485,V1,58,1.0,0,,0.06678097579472352,278.71551513671875
897024,15.193542607625325,V1,60,1.0,0,,0.06779083500262446,279.482666015625
901120,15.264314977327983,V1,62,1.0,0,,0.06577452359094467,280.24493408203125
905216,15.334877518812815,V1,64,1.0,0,,0.06739419323740607,281.16888427734375
909312,15.410725907484691,V1,68,1.0,0,,0.0686627151524627,282.82000732421875
913408,15.485936919848124,V1,70,1.0,0,,0.06775220379422907,283.076171875
917504,15.564316582679748,V1,72,1.0,0,,0.06801582921264158,283.36505126953125
